dam_name,date,height_m,storage_ml,current_%,last year_%,year,month,monthname,dayofmonth,daymonthyear
Kleinplaats,2012-01-01,6.15,336.6,25.9,,2012,1,Jan,1,1-Jan-2012
Kleinplaats,2012-01-02,6.15,336.6,25.9,,2012,1,Jan,2,2-Jan-2012
Kleinplaats,2012-01-03,6.15,336.6,25.9,,2012,1,Jan,3,3-Jan-2012
Kleinplaats,2012-01-04,6.13,334.2,25.7,,2012,1,Jan,4,4-Jan-2012
Kleinplaats,2012-01-05,6.1,330.6,25.4,,2012,1,Jan,5,5-Jan-2012
Kleinplaats,2012-01-06,6.1,330.6,25.4,,2012,1,Jan,6,6-Jan-2012
Kleinplaats,2012-01-07,6.1,330.6,25.4,,2012,1,Jan,7,7-Jan-2012
Kleinplaats,2012-01-08,6.1,330.6,25.4,,2012,1,Jan,8,8-Jan-2012
Kleinplaats,2012-01-09,6.08,328.3,25.2,,2012,1,Jan,9,9-Jan-2012
Kleinplaats,2012-01-10,6.06,325.9,25.1,,2012,1,Jan,10,10-Jan-2012
Kleinplaats,2012-01-11,6.06,325.9,25.1,,2012,1,Jan,11,11-Jan-2012
Kleinplaats,2012-01-12,6.04,323.6,24.9,,2012,1,Jan,12,12-Jan-2012
Kleinplaats,2012-01-13,6.02,321.2,24.7,,2012,1,Jan,13,13-Jan-2012
Kleinplaats,2012-01-14,6.01,320.1,24.6,,2012,1,Jan,14,14-Jan-2012
Kleinplaats,2012-01-15,5.98,316.6,24.3,,2012,1,Jan,15,15-Jan-2012
Kleinplaats,2012-01-16,5.98,316.6,24.3,,2012,1,Jan,16,16-Jan-2012
Kleinplaats,2012-01-17,5.98,316.6,24.3,,2012,1,Jan,17,17-Jan-2012
Kleinplaats,2012-01-18,5.98,316.6,24.3,,2012,1,Jan,18,18-Jan-2012
Kleinplaats,2012-01-19,5.98,316.6,24.3,,2012,1,Jan,19,19-Jan-2012
Kleinplaats,2012-01-20,5.98,316.6,24.3,,2012,1,Jan,20,20-Jan-2012
Kleinplaats,2012-01-21,5.95,313.1,24.1,,2012,1,Jan,21,21-Jan-2012
Kleinplaats,2012-01-22,5.95,313.1,24.1,,2012,1,Jan,22,22-Jan-2012
Kleinplaats,2012-01-23,5.95,313.1,24.1,,2012,1,Jan,23,23-Jan-2012
Kleinplaats,2012-01-24,5.92,309.7,23.8,,2012,1,Jan,24,24-Jan-2012
