date,dam_name,height_m,storage_ml,heatingdegreedays,meanwdird,gdegreedays,meanpressurem,minvism,minwspdm,meanvism,maxvism,fog,snow,mindewptm,rain,meandewptm,tornado,mintempm,precipm,minpressurem,hail,maxwspdm,precipsource,meantempm,meanwdire,maxpressurem,humidity,maxhumidity,meanwindspdm,maxtempm,coolingdegreedays,minhumidity,maxdewptm,thunder
2012-01-01,Theewaterskloof,24.83,357963.0,0,290,15,1014.88,10.0,4,13.6,25.0,0,0,11,0,14,0,13,0.0,1014.0,0,32,3Or6HourObs,18,WNW,1016.0,67,88,15,23,0,44,17,0
2012-01-02,Theewaterskloof,24.8,356677.0,0,325,18,1013.54,2.0,11,10.3,20.0,0,0,16,1,17,0,16,0.2,1012.0,0,39,Precip6GroupSynop,20,NW,1015.0,88,100,19,24,4,61,18,0
2012-01-03,Theewaterskloof,24.77,355394.0,0,321,20,1015.06,10.0,6,12.5,25.0,0,0,11,1,14,0,15,0.0,1014.0,0,24,Precip6GroupSynop,20,NW,1016.0,65,94,15,26,4,31,18,0
2012-01-04,Theewaterskloof,24.73,353687.0,0,248,15,1015.91,10.0,0,14.1,25.0,0,0,10,0,12,0,11,0.0,1014.0,0,24,3Or6HourObs,18,WSW,1019.0,62,88,9,25,0,30,16,0
2012-01-05,Theewaterskloof,24.67,351135.0,0,180,21,1017.22,10.0,15,14.7,25.0,0,0,12,0,14,0,18,0.0,1016.0,0,37,3Or6HourObs,22,South,1018.0,65,83,22,25,6,39,16,0
2012-01-06,Theewaterskloof,24.64,349863.0,0,190,24,1016.94,10.0,13,15.8,30.0,0,0,-2,0,14,0,18,0.0,1016.0,0,37,3Or6HourObs,23,South,1018.0,61,88,21,28,8,14,17,0
2012-01-07,Theewaterskloof,24.61,348594.0,0,189,24,1013.81,10.0,13,13.9,30.0,0,0,13,0,17,0,19,0.0,1012.0,0,50,3Or6HourObs,23,South,1017.0,68,83,27,27,8,42,19,0
2012-01-08,Theewaterskloof,24.58,347327.0,0,184,27,1010.21,10.0,11,13.9,30.0,0,0,15,0,18,0,20,0.0,1009.0,0,43,3Or6HourObs,24,South,1012.0,65,88,28,29,12,35,20,0
2012-01-09,Theewaterskloof,24.54,345643.0,0,181,23,1012.48,10.0,24,13.4,25.0,0,0,16,0,18,0,20,0.0,1011.0,0,52,3Or6HourObs,22,South,1014.0,76,88,32,25,8,59,20,0
2012-01-10,Theewaterskloof,24.5,343963.0,0,204,25,1010.15,10.0,18,22.0,30.0,0,0,15,0,17,0,19,0.0,1008.0,0,37,3Or6HourObs,24,SSW,1013.0,65,83,24,28,10,42,18,0
2012-01-11,Theewaterskloof,24.47,342706.0,0,197,24,1008.78,10.0,6,20.9,30.0,0,0,14,0,17,0,17,0.0,1007.0,0,24,3Or6HourObs,24,SSW,1011.0,69,94,13,30,9,39,19,0
2012-01-12,Theewaterskloof,24.44,341452.0,0,309,20,1010.03,10.0,9,13.4,30.0,0,0,13,0,16,0,16,0.0,1009.0,0,44,3Or6HourObs,21,NW,1012.0,74,100,20,26,6,41,18,0
2012-01-13,Theewaterskloof,24.42,340617.0,0,295,20,1013.1,4.0,9,11.8,25.0,0,0,13,1,16,0,18,0.2,1010.0,0,46,Precip6GroupSynop,21,WNW,1018.0,76,94,22,24,5,48,18,0
2012-01-14,Theewaterskloof,24.38,338951.0,0,166,14,1017.82,10.0,0,12.9,30.0,0,0,11,0,13,0,11,0.0,1016.0,0,44,Precip6GroupSynop,18,SSE,1020.0,64,88,14,24,0,38,16,0
2012-01-15,Theewaterskloof,24.35,337705.0,0,177,28,1013.28,10.0,9,20.7,25.0,0,0,5,0,13,0,18,0.0,1010.0,0,41,3Or6HourObs,26,South,1016.0,44,65,22,33,14,15,19,0
2012-01-16,Theewaterskloof,24.32,336461.0,0,190,31,1007.5,10.0,7,17.9,25.0,0,0,15,0,18,0,21,0.0,1006.0,0,32,3Or6HourObs,27,South,1010.0,61,83,15,33,16,28,21,0
2012-01-17,Theewaterskloof,24.26,333981.0,0,213,28,1007.56,10.0,7,15.9,20.0,0,0,19,0,20,0,20,0.0,1006.0,0,32,3Or6HourObs,26,SSW,1009.0,71,94,18,31,13,46,21,0
2012-01-18,Theewaterskloof,24.24,333157.0,0,196,30,1008.29,8.0,6,15.2,20.0,0,0,19,0,20,0,19,0.0,1007.0,0,24,3Or6HourObs,26,SSW,1010.0,74,94,14,34,15,33,21,0
2012-01-19,Theewaterskloof,24.22,332334.0,0,211,24,1008.68,8.0,9,9.2,16.0,0,0,19,0,20,0,19,0.0,1007.0,0,33,3Or6HourObs,23,SSW,1010.0,83,100,18,27,10,59,22,0
2012-01-20,Theewaterskloof,24.17,330282.0,0,227,23,1009.36,0.4,4,6.8,20.0,1,0,18,0,20,0,18,0.0,1008.0,0,33,3Or6HourObs,23,SW,1011.0,88,100,16,28,8,60,21,0
2012-01-21,Theewaterskloof,24.14,329054.0,0,213,28,1008.41,10.0,6,13.5,25.0,0,0,18,0,19,0,21,0.0,1007.0,0,26,3Or6HourObs,26,SSW,1010.0,69,88,16,30,14,44,20,0
2012-01-22,Theewaterskloof,24.11,327829.0,0,300,23,1009.77,8.0,6,13.4,30.0,0,0,15,0,17,0,19,0.0,1007.0,0,33,3Or6HourObs,22,WNW,1012.0,73,88,14,26,8,47,20,0
2012-01-23,Theewaterskloof,24.08,326606.0,0,206,20,1014.15,10.0,4,13.0,30.0,0,0,16,1,17,0,17,0.2,1011.0,0,41,Precip6GroupSynop,20,SSW,1018.0,78,94,17,24,4,52,18,0
2012-01-24,Theewaterskloof,24.05,325386.0,0,157,22,1015.81,10.0,18,12.9,30.0,0,0,14,1,16,0,18,0.0,1014.0,0,46,Precip6GroupSynop,22,SSE,1017.0,67,94,26,27,8,39,18,0
2012-01-25,Theewaterskloof,24.01,323764.0,0,180,22,1012.12,10.0,13,15.0,30.0,0,0,12,0,14,0,16,0.0,1010.0,0,35,3Or6HourObs,22,South,1015.0,56,73,23,28,6,31,16,0
2012-01-26,Theewaterskloof,23.97,322146.0,0,169,24,1012.37,10.0,18,14.3,30.0,0,0,13,0,15,0,19,0.0,1010.0,0,46,3Or6HourObs,24,South,1016.0,59,73,29,28,9,34,17,0
2012-01-27,Theewaterskloof,23.93,320532.0,0,184,26,1013.52,10.0,6,23.3,30.0,0,0,11,0,16,0,19,0.0,1012.0,0,39,3Or6HourObs,24,South,1015.0,59,78,23,30,11,25,19,0
2012-01-28,Theewaterskloof,23.9,319323.0,0,187,28,1010.28,10.0,9,21.0,25.0,0,0,13,0,16,0,20,0.0,1008.0,0,39,3Or6HourObs,26,South,1013.0,56,78,22,31,13,25,18,0
2012-01-29,Theewaterskloof,23.87,318116.0,0,223,28,1005.69,20.0,6,21.0,25.0,0,0,12,0,15,0,17,0.0,1004.0,0,30,3Or6HourObs,26,SW,1008.0,57,94,12,34,14,22,18,0
2012-01-30,Theewaterskloof,23.84,316913.0,0,257,21,1009.64,10.0,6,11.8,25.0,0,0,14,1,16,0,16,0.0,1006.0,0,33,Precip6GroupSynop,22,WSW,1012.0,73,94,13,27,6,39,18,0
2012-01-31,Theewaterskloof,23.78,314514.0,0,196,24,1009.65,10.0,4,13.3,30.0,0,0,14,0,16,0,18,0.0,1008.0,0,39,3Or6HourObs,23,SSW,1012.0,67,88,19,28,8,33,17,0
2012-02-01,Theewaterskloof,23.75,313318.0,0,169,21,1013.36,10.0,20,13.4,30.0,0,0,13,0,14,0,18,0.0,1011.0,0,50,3Or6HourObs,22,South,1016.0,70,78,25,25,6,44,16,0
2012-02-02,Theewaterskloof,23.73,312522.0,0,141,22,1014.21,10.0,20,13.4,30.0,0,0,13,0,15,0,18,0.0,1012.0,0,48,3Or6HourObs,22,SE,1016.0,61,73,33,26,8,43,17,0
2012-02-03,Theewaterskloof,23.69,310935.0,0,134,26,1014.0,10.0,13,13.0,25.0,0,0,13,0,15,0,18,0.0,1013.0,0,39,3Or6HourObs,24,SE,1016.0,57,83,21,31,11,27,16,0
2012-02-04,Theewaterskloof,23.66,309747.0,0,196,28,1013.34,10.0,7,14.3,25.0,0,0,13,0,15,0,18,0.0,1011.0,0,28,3Or6HourObs,25,SSW,1015.0,56,78,14,32,12,25,17,0
2012-02-05,Theewaterskloof,23.64,308957.0,0,192,28,1009.2,,4,,,0,0,10,0,15,0,16,0.0,1007.0,0,22,3Or6HourObs,25,SSW,1011.0,53,78,12,34,12,13,17,0
2012-02-06,Theewaterskloof,23.6,307380.0,0,313,32,1006.25,10.0,2,14.3,30.0,0,0,12,1,16,0,19,0.0,1005.0,0,30,Precip6GroupSynop,28,NW,1008.0,57,94,12,37,17,16,20,1
2012-02-07,Theewaterskloof,23.58,306594.0,0,278,22,1010.43,2.5,6,10.8,30.0,0,0,14,0,18,0,18,0.0,1008.0,0,32,Precip6GroupSynop,22,West,1013.0,79,100,17,27,8,41,19,0
2012-02-08,Theewaterskloof,23.5,303460.0,0,174,20,1012.79,10.0,13,16.5,30.0,0,0,12,0,15,0,17,0.0,1012.0,0,43,3Or6HourObs,21,South,1014.0,67,88,21,25,5,41,16,0
2012-02-09,Theewaterskloof,23.45,301511.0,0,166,21,1011.3,10.0,22,14.2,30.0,0,0,12,0,14,0,18,0.0,1010.0,0,46,3Or6HourObs,22,SSE,1013.0,62,78,28,25,6,35,15,0
2012-02-10,Theewaterskloof,23.42,300345.0,0,206,16,1012.15,10.0,7,12.9,25.0,0,0,5,1,9,0,16,0.0,1011.0,0,35,Precip6GroupSynop,19,SSW,1013.0,54,88,21,22,0,22,16,0
2012-02-11,Theewaterskloof,23.38,298796.0,0,294,15,1012.82,3.5,2,11.9,30.0,0,0,11,1,13,0,13,0.0,1011.0,0,30,Precip6GroupSynop,18,WNW,1015.0,78,100,13,22,0,50,15,0
2012-02-12,Theewaterskloof,23.35,297637.0,0,298,15,1013.73,10.0,7,13.3,30.0,0,0,10,0,13,0,13,0.0,1013.0,0,30,Precip6GroupSynop,18,WNW,1015.0,71,94,14,23,0,35,15,0
2012-02-13,Theewaterskloof,23.34,297251.0,0,167,16,1013.26,10.0,4,10.0,10.0,0,0,10,0,12,0,13,0.0,1012.0,0,37,3Or6HourObs,18,SSE,1015.0,64,94,17,24,0,32,14,0
2012-02-14,Theewaterskloof,23.31,296096.0,0,170,18,1013.19,10.0,13,10.8,30.0,0,0,11,0,13,0,16,0.0,1011.0,0,35,3Or6HourObs,20,South,1016.0,65,83,23,23,4,41,15,0
2012-02-15,Theewaterskloof,23.28,294943.0,0,170,18,1014.16,10.0,17,15.0,25.0,0,0,11,0,12,0,16,0.0,1013.0,0,33,3Or6HourObs,20,South,1015.0,60,73,22,23,2,38,13,0
2012-02-16,Theewaterskloof,23.25,293794.0,0,177,18,1012.53,10.0,15,15.6,25.0,0,0,11,0,13,0,16,0.0,1011.0,0,35,3Or6HourObs,20,South,1014.0,64,82,20,24,3,39,14,0
2012-02-17,Theewaterskloof,23.21,292265.0,0,161,22,1012.28,10.0,15,10.7,20.0,0,0,12,0,14,0,18,0.0,1011.0,0,46,3Or6HourObs,22,SSE,1013.0,62,77,25,26,6,35,16,0
2012-02-18,Theewaterskloof,23.18,291122.0,0,175,21,1011.05,10.0,4,12.5,25.0,0,0,12,0,15,0,13,0.0,1009.0,0,35,3Or6HourObs,22,South,1013.0,60,88,15,30,6,30,17,0
2012-02-19,Theewaterskloof,23.15,289982.0,0,187,28,1007.88,25.0,4,25.0,25.0,0,0,10,0,15,0,18,0.0,1007.0,0,24,3Or6HourObs,26,South,1010.0,56,88,10,34,14,21,17,0
2012-02-20,Theewaterskloof,23.12,288845.0,0,293,20,1012.89,4.5,11,12.4,30.0,0,0,16,0,17,0,18,0.0,1010.0,0,26,3Or6HourObs,22,WNW,1016.0,76,94,16,25,6,54,18,0
2012-02-21,Theewaterskloof,23.08,287333.0,0,292,18,1013.58,10.0,4,13.5,30.0,0,0,13,0,16,0,14,0.0,1011.0,0,28,3Or6HourObs,20,WNW,1016.0,76,100,12,25,2,43,18,0
2012-02-22,Theewaterskloof,23.05,286203.0,0,316,18,1010.05,3.0,0,11.1,25.0,0,0,15,1,17,0,17,1.0,1009.0,0,48,Precip6GroupSynop,20,NW,1014.0,86,100,21,23,4,63,19,0
2012-02-23,Theewaterskloof,23.0,284325.0,0,167,16,1013.91,10.0,0,15.9,30.0,0,0,12,0,13,0,13,0.0,1013.0,0,35,3Or6HourObs,18,SSE,1015.0,67,88,11,24,1,37,15,0
2012-02-24,Theewaterskloof,22.98,283577.0,0,182,18,1011.19,10.0,17,18.6,30.0,0,0,14,0,15,0,16,0.0,1010.0,0,35,3Or6HourObs,20,South,1013.0,73,88,21,24,4,49,16,0
2012-02-25,Theewaterskloof,22.96,282829.0,0,181,20,1012.23,10.0,17,19.4,30.0,0,0,14,0,16,0,17,0.0,1010.0,0,33,3Or6HourObs,21,South,1014.0,75,88,23,25,6,50,18,0
2012-02-26,Theewaterskloof,22.94,282083.0,0,177,21,1012.74,10.0,13,12.4,30.0,0,0,15,0,17,0,17,0.0,1012.0,0,32,3Or6HourObs,22,South,1014.0,73,94,19,26,6,47,18,0
2012-02-27,Theewaterskloof,22.92,281338.0,0,195,22,1010.64,4.0,0,11.7,30.0,0,0,12,0,17,0,15,0.0,1009.0,0,22,3Or6HourObs,22,SSW,1013.0,76,100,11,29,6,37,19,0
2012-02-28,Theewaterskloof,22.9,280595.0,0,253,20,1012.0,8.0,4,11.5,30.0,0,0,13,1,16,0,16,0.2,1009.0,0,26,Precip6GroupSynop,20,WSW,1016.0,77,94,11,25,5,48,18,0
2012-02-29,Theewaterskloof,22.86,279111.0,0,165,20,1014.13,10.0,18,13.8,30.0,0,0,10,0,12,0,17,0.0,1012.0,0,39,3Or6HourObs,20,SSE,1016.0,56,68,23,24,4,35,14,0
2012-03-01,Theewaterskloof,22.86,279111.0,0,197,18,1012.79,10.0,6,17.0,25.0,0,0,11,0,14,0,12,0.0,1011.0,0,17,3Or6HourObs,20,SSW,1015.0,69,88,10,27,2,38,15,0
2012-03-02,Theewaterskloof,22.8,276896.0,0,175,20,1011.36,20.0,4,21.9,25.0,0,0,15,0,17,0,15,0.0,1008.0,0,20,3Or6HourObs,22,South,1015.0,74,100,10,28,6,38,18,0
2012-03-03,Theewaterskloof,22.77,275793.0,0,313,19,1010.03,6.0,4,12.2,25.0,0,0,16,0,17,0,16,1.0,1008.0,0,39,Precip6GroupSynop,20,NW,1012.0,79,100,13,25,4,52,18,0
2012-03-04,Theewaterskloof,22.74,274693.0,0,188,20,1014.66,5.0,6,12.3,25.0,0,0,8,1,13,0,17,0.0,1011.0,0,32,3Or6HourObs,20,South,1019.0,64,100,16,24,4,29,18,0
