date,storage_ml,year
2012-01-01,698050.1000000001,2012
2012-01-02,695256.4,2012
2012-01-03,692603.3,2012
2012-01-04,689585.1,2012
2012-01-05,685657.4,2012
2012-01-06,683530.6,2012
2012-01-07,681825.7999999999,2012
2012-01-08,680193.7,2012
2012-01-09,677690.6,2012
2012-01-10,674035.7,2012
2012-01-11,670383.7,2012
2012-01-12,670548.8999999999,2012
2012-01-13,667891.7000000001,2012
2012-01-14,665777.3,2012
2012-01-15,664302.8999999999,2012
2012-01-16,661142.1,2012
2012-01-17,655971.0,2012
2012-01-18,653581.0,2012
2012-01-19,651643.6000000001,2012
2012-01-20,648405.4,2012
2012-01-21,646155.8,2012
2012-01-22,643866.4,2012
2012-01-23,641929.6,2012
2012-01-24,639419.5,2012
2012-01-25,636377.5,2012
2012-01-26,632888.9,2012
2012-01-27,630208.7,2012
2012-01-28,627478.3,2012
2012-01-29,625645.8,2012
2012-01-30,622383.2999999999,2012
2012-01-31,618789.0,2012
2012-02-01,616648.3999999999,2012
2012-02-02,614673.2,2012
2012-02-03,612336.2999999999,2012
2012-02-04,610132.3,2012
2012-02-05,608343.2,2012
2012-02-06,603978.1000000001,2012
2012-02-07,601945.8999999999,2012
2012-02-08,597362.5,2012
2012-02-09,594311.3,2012
2012-02-10,592150.6,2012
2012-02-11,589631.9,2012
2012-02-12,588347.6,2012
2012-02-13,586208.0,2012
2012-02-14,584060.8,2012
2012-02-15,581283.8,2012
2012-02-16,578559.3999999999,2012
2012-02-17,575267.2999999999,2012
2012-02-18,572631.3,2012
2012-02-19,570503.6,2012
2012-02-20,568118.2,2012
2012-02-21,564969.9,2012
2012-02-22,562389.3,2012
2012-02-23,557437.5,2012
2012-02-24,557053.0,2012
2012-02-25,555076.5,2012
2012-02-26,553353.6,2012
2012-02-27,551458.7,2012
2012-02-28,548839.8,2012
2012-02-29,545617.7,2012
2012-03-01,544219.3,2012
2012-03-02,540444.6,2012
2012-03-03,538581.1000000001,2012
2012-03-04,535149.2,2012
2012-03-05,533990.9,2012
2012-03-06,531364.0,2012
2012-03-07,529196.6000000001,2012
2012-03-08,525803.5,2012
2012-03-09,523329.5,2012
2012-03-10,520688.7,2012
2012-03-11,517283.5,2012
2012-03-12,516336.2,2012
2012-03-13,513973.8,2012
2012-03-14,508995.39999999997,2012
2012-03-15,508838.89999999997,2012
2012-03-16,507076.69999999995,2012
2012-03-17,503863.3,2012
2012-03-18,503095.4,2012
2012-03-19,500201.0,2012
2012-03-20,497874.5,2012
2012-03-21,494851.2,2012
2012-03-22,492962.39999999997,2012
2012-03-23,489618.9,2012
2012-03-24,487832.60000000003,2012
2012-03-25,485815.9,2012
2012-03-26,483099.19999999995,2012
2012-03-27,480448.3,2012
2012-03-28,478316.6,2012
2012-03-29,475441.80000000005,2012
2012-03-30,473538.5,2012
2012-03-31,472264.89999999997,2012
2012-04-01,472003.8,2012
2012-04-02,471854.6,2012
2012-04-03,470107.9,2012
2012-04-04,468617.4,2012
